"REF_DATE","GEO","DGUID","Labour force characteristics","North American Industry Classification System (NAICS)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677621","7.2.13.1.2","813.7","","","","1"
"2012","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677621","7.2.13.1.2","789.6","","","","1"
"2013","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677621","7.2.13.1.2","812.0","","","","1"
"2014","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677621","7.2.13.1.2","820.0","","","","1"
"2015","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677621","7.2.13.1.2","807.9","","","","1"
"2016","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677621","7.2.13.1.2","802.6","","","","1"
"2017","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677621","7.2.13.1.2","836.1","","","","1"
"2018","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677621","7.2.13.1.2","855.1","","","","1"
"2019","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677621","7.2.13.1.2","891.4","","","","1"
"2020","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677621","7.2.13.1.2","718.8","","","","1"
"2021","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677621","7.2.13.1.2","800.3","","","","1"
"2022","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","15 to 24 years","Persons","249","thousands","3","v19677621","7.2.13.1.2","876.2","","","","1"
"2011","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677622","7.2.13.1.3","3510.7","","","","1"
"2012","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677622","7.2.13.1.3","3509.3","","","","1"
"2013","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677622","7.2.13.1.3","3565.1","","","","1"
"2014","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677622","7.2.13.1.3","3568.8","","","","1"
"2015","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677622","7.2.13.1.3","3582.8","","","","1"
"2016","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677622","7.2.13.1.3","3578.6","","","","1"
"2017","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677622","7.2.13.1.3","3642.1","","","","1"
"2018","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677622","7.2.13.1.3","3685.7","","","","1"
"2019","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677622","7.2.13.1.3","3805.9","","","","1"
"2020","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677622","7.2.13.1.3","3657.7","","","","1"
"2021","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677622","7.2.13.1.3","3844.3","","","","1"
"2022","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","25 to 54 years","Persons","249","thousands","3","v19677622","7.2.13.1.3","4006.5","","","","1"
"2011","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","55 years and over","Persons","249","thousands","3","v19677623","7.2.13.1.4","930.5","","","","1"
"2012","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","55 years and over","Persons","249","thousands","3","v19677623","7.2.13.1.4","979.3","","","","1"
"2013","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","55 years and over","Persons","249","thousands","3","v19677623","7.2.13.1.4","1019.4","","","","1"
"2014","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","55 years and over","Persons","249","thousands","3","v19677623","7.2.13.1.4","1057.5","","","","1"
"2015","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","55 years and over","Persons","249","thousands","3","v19677623","7.2.13.1.4","1089.5","","","","1"
"2016","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","55 years and over","Persons","249","thousands","3","v19677623","7.2.13.1.4","1135.0","","","","1"
"2017","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","55 years and over","Persons","249","thousands","3","v19677623","7.2.13.1.4","1181.5","","","","1"
"2018","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","55 years and over","Persons","249","thousands","3","v19677623","7.2.13.1.4","1228.3","","","","1"
"2019","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","55 years and over","Persons","249","thousands","3","v19677623","7.2.13.1.4","1257.4","","","","1"
"2020","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","55 years and over","Persons","249","thousands","3","v19677623","7.2.13.1.4","1233.9","","","","1"
"2021","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","55 years and over","Persons","249","thousands","3","v19677623","7.2.13.1.4","1282.5","","","","1"
"2022","Ontario","2016A000235","Employment","Services-producing sector","Both sexes","55 years and over","Persons","249","thousands","3","v19677623","7.2.13.1.4","1305.4","","","","1"


